gemeentenaam,corop
Aa en Hunze,Noord-Drenthe
Aalsmeer,Haarlemmermeer en omgeving
Aalten,Achterhoek
Achtkarspelen,Noord-Friesland
Alblasserdam,Overig Zuidoost-Zuid-Holland
Albrandswaard,Rijnmond
Alkmaar,Alkmaar en omgeving
Almelo,Twente
Almere,Almere
Alphen aan den Rijn,Oost-Zuid-Holland
Alphen-Chaam,Midden-Noord-Brabant
Altena,Midden-Noord-Brabant
Ameland,Noord-Friesland
Amersfoort,Stadsgewest Amersfoort
Amstelveen,Overig Agglomeratie Amsterdam
Amsterdam,Amsterdam
Apeldoorn,Veluwe
Arnhem,Arnhem/Nijmegen
Assen,Noord-Drenthe
Asten,Zuidoost-Noord-Brabant
Baarle-Nassau,Midden-Noord-Brabant
Baarn,Stadsgewest Amersfoort
Barendrecht,Rijnmond
Barneveld,Veluwe
Beek,Zuid-Limburg
Beekdaelen,Zuid-Limburg
Beemster,Edam-Volendam en omgeving
Beesel,Noord-Limburg
Berg en Dal,Arnhem/Nijmegen
Bergeijk,Zuidoost-Noord-Brabant
Bergen (L.),Noord-Limburg
Bergen (NH.),Alkmaar en omgeving
Bergen op Zoom,West-Noord-Brabant
Berkelland,Achterhoek
Bernheze,Overig Noordoost-Noord-Brabant
Best,Zuidoost-Noord-Brabant
Beuningen,Arnhem/Nijmegen
Beverwijk,IJmond
De Bilt,Stadsgewest Utrecht
Bladel,Zuidoost-Noord-Brabant
Blaricum,Het Gooi en Vechtstreek
Bloemendaal,Agglomeratie Haarlem
Bodegraven-Reeuwijk,Oost-Zuid-Holland
Boekel,Overig Noordoost-Noord-Brabant
Borger-Odoorn,Zuidoost-Drenthe
Borne,Twente
Borsele,Overig Zeeland
Boxmeer,Overig Noordoost-Noord-Brabant
Boxtel,Stadsgewest 's-Hertogenbosch
Breda,West-Noord-Brabant
Brielle,Rijnmond
Bronckhorst,Achterhoek
Brummen,Achterhoek
Brunssum,Zuid-Limburg
Bunnik,Stadsgewest Utrecht
Bunschoten,Stadsgewest Amersfoort
Buren,Zuidwest-Gelderland
Capelle aan den IJssel,Rijnmond
Castricum,IJmond
Coevorden,Zuidoost-Drenthe
Cranendonck,Zuidoost-Noord-Brabant
Cuijk,Overig Noordoost-Noord-Brabant
Culemborg,Zuidwest-Gelderland
Dalfsen,Noord-Overijssel
Dantumadiel,Noord-Friesland
Delft,Delft en Westland
Deurne,Zuidoost-Noord-Brabant
Deventer,Zuidwest-Overijssel
Diemen,Overig Agglomeratie Amsterdam
Dinkelland,Twente
Doesburg,Arnhem/Nijmegen
Doetinchem,Achterhoek
Dongen,Midden-Noord-Brabant
Dordrecht,Drechtsteden
Drechterland,Kop van Noord-Holland
Drimmelen,West-Noord-Brabant
Dronten,Flevoland-Midden
Druten,Arnhem/Nijmegen
Duiven,Arnhem/Nijmegen
Echt-Susteren,Midden-Limburg
Edam-Volendam,Edam-Volendam en omgeving
Ede,Veluwe
Eemnes,Stadsgewest Amersfoort
Eemsdelta,Delfzijl en omgeving
Eersel,Zuidoost-Noord-Brabant
Eijsden-Margraten,Zuid-Limburg
Eindhoven,Zuidoost-Noord-Brabant
Elburg,Veluwe
Emmen,Zuidoost-Drenthe
Enkhuizen,Kop van Noord-Holland
Enschede,Twente
Epe,Veluwe
Ermelo,Veluwe
Etten-Leur,West-Noord-Brabant
De Fryske Marren,Zuidwest-Friesland
Geertruidenberg,West-Noord-Brabant
Geldrop-Mierlo,Zuidoost-Noord-Brabant
Gemert-Bakel,Zuidoost-Noord-Brabant
Gennep,Noord-Limburg
Gilze en Rijen,Midden-Noord-Brabant
Goeree-Overflakkee,Overig Groot-Rijnmond
