gemcode,gemeente,postcode
14,Groningen,9479
14,Groningen,9613
14,Groningen,9614
14,Groningen,9622
14,Groningen,9711
14,Groningen,9712
14,Groningen,9713
14,Groningen,9714
14,Groningen,9715
14,Groningen,9716
14,Groningen,9717
14,Groningen,9718
14,Groningen,9721
14,Groningen,9722
14,Groningen,9723
14,Groningen,9724
14,Groningen,9725
14,Groningen,9726
14,Groningen,9727
14,Groningen,9728
14,Groningen,9731
14,Groningen,9732
14,Groningen,9733
14,Groningen,9734
14,Groningen,9735
14,Groningen,9736
14,Groningen,9737
14,Groningen,9738
14,Groningen,9741
14,Groningen,9742
14,Groningen,9743
14,Groningen,9744
14,Groningen,9745
14,Groningen,9746
14,Groningen,9747
14,Groningen,9751
14,Groningen,9752
14,Groningen,9753
14,Groningen,9755
14,Groningen,9756
14,Groningen,9791
14,Groningen,9792
14,Groningen,9793
14,Groningen,9794
14,Groningen,9795
14,Groningen,9796
14,Groningen,9797
14,Groningen,9798
34,Almere,1309
34,Almere,1311
34,Almere,1312
34,Almere,1313
34,Almere,1314
34,Almere,1315
34,Almere,1316
34,Almere,1317
34,Almere,1318
34,Almere,1319
34,Almere,1321
34,Almere,1322
34,Almere,1323
34,Almere,1324
34,Almere,1325
34,Almere,1326
34,Almere,1327
34,Almere,1328
34,Almere,1329
34,Almere,1331
34,Almere,1332
34,Almere,1333
34,Almere,1334
34,Almere,1335
34,Almere,1336
34,Almere,1338
34,Almere,1339
34,Almere,1341
34,Almere,1343
34,Almere,1349
34,Almere,1351
34,Almere,1352
34,Almere,1353
34,Almere,1354
34,Almere,1355
34,Almere,1356
34,Almere,1357
34,Almere,1358
34,Almere,1359
34,Almere,1361
34,Almere,1362
34,Almere,1363
34,Almere,1364
37,Stadskanaal,9501
37,Stadskanaal,9502
37,Stadskanaal,9503
37,Stadskanaal,9581
37,Stadskanaal,9584
37,Stadskanaal,9585
37,Stadskanaal,9591
37,Stadskanaal,9661
47,Veendam,9631
47,Veendam,9641
47,Veendam,9642
47,Veendam,9644
47,Veendam,9645
47,Veendam,9646
47,Veendam,9648
50,Zeewolde,3891
50,Zeewolde,3892
50,Zeewolde,3893
50,Zeewolde,3894
50,Zeewolde,3895
50,Zeewolde,3896
50,Zeewolde,3897
50,Zeewolde,3898
50,Zeewolde,3899
59,Achtkarspelen,9231
59,Achtkarspelen,9233
59,Achtkarspelen,9281
59,Achtkarspelen,9283
59,Achtkarspelen,9284
59,Achtkarspelen,9285
59,Achtkarspelen,9286
59,Achtkarspelen,9287
59,Achtkarspelen,9288
59,Achtkarspelen,9289
59,Achtkarspelen,9871
59,Achtkarspelen,9872
59,Achtkarspelen,9873
60,Ameland,9161
60,Ameland,9162
60,Ameland,9163
60,Ameland,9164
72,Harlingen,8857
72,Harlingen,8861
72,Harlingen,8862
72,Harlingen,8871
72,Harlingen,8872
74,Heerenveen,8411
74,Heerenveen,8412
74,Heerenveen,8413
74,Heerenveen,8414
74,Heerenveen,8415
74,Heerenveen,8441
74,Heerenveen,8442
74,Heerenveen,8443
74,Heerenveen,8444
74,Heerenveen,8445
74,Heerenveen,8446
74,Heerenveen,8447
74,Heerenveen,8448
74,Heerenveen,8449
74,Heerenveen,8451
74,Heerenveen,8452
74,Heerenveen,8453
74,Heerenveen,8454
74,Heerenveen,8455
74,Heerenveen,8456
74,Heerenveen,8457
74,Heerenveen,8458
74,Heerenveen,8459
74,Heerenveen,8468
74,Heerenveen,8469
74,Heerenveen,8491
74,Heerenveen,8494
74,Heerenveen,8495
80,Leeuwarden,8832
80,Leeuwarden,8833
80,Leeuwarden,8834
80,Leeuwarden,8835
80,Leeuwarden,8911
80,Leeuwarden,8912
80,Leeuwarden,8913
80,Leeuwarden,8914
80,Leeuwarden,8915
80,Leeuwarden,8916
80,Leeuwarden,8917
80,Leeuwarden,8918
80,Leeuwarden,8919
80,Leeuwarden,8921
80,Leeuwarden,8922
80,Leeuwarden,8923
80,Leeuwarden,8924
80,Leeuwarden,8925
80,Leeuwarden,8926
80,Leeuwarden,8927
80,Leeuwarden,8931
80,Leeuwarden,8932
80,Leeuwarden,8933
80,Leeuwarden,8934
80,Leeuwarden,8935
80,Leeuwarden,8936
80,Leeuwarden,8937
80,Leeuwarden,8938
