Q5_combined,Q6,Q21_2,Q22_2,Q23_2,Q24_2,Q25_2,Q26_2,Q27_2,Q28_2
0,0,95,90,91,83,77,85,85,90
0,0,100,100,100,100,100,100,100,100
0,0,99,100,100,100,100,100,100,100
0,0,89,85,87,80,86,87,89,82
0,0,100,100,100,100,100,100,100,100
0,0,100,100,100,100,100,100,100,100
0,0,100,100,100,100,100,100,100,100
0,0,100,99,100,23,65,100,100,62
0,0,80,87,77,72,64,85,84,83
0,0,90,0,0,90,100,97,100,100
0,0,79,100,100,87,85,96,98,100
0,0,68,66,81,68,69,75,72,73
0,0,95,95,100,67,100,91,100,100
0,0,72,100,96,0,52,84,90,100
0,0,83,90,90,50,85,85,85,87
0,0,70,80,80,60,80,65,70,80
0,0,84,86,80,83,79,80,79,78
0,0,90,100,100,100,100,100,100,100
0,0,100,100,100,100,100,100,100,100
0,0,63,70,69,67,70,73,70,72
0,0,100,100,100,100,100,100,100,100
0,0,80,81,80,70,81,80,80,80
0,0,79,76,86,61,72,100,75,85
0,0,96,95,80,91,92,86,100,99
0,0,75,80,90,77,95,90,90,95
0,0,100,100,100,67,87,100,100,100
0,0,96,100,100,95,97,92,100,99
0,0,70,90,60,60,61,69,93,73
0,0,85,96,95,43,85,76,86,85
0,0,85,92,83,69,91,83,86,82
0,0,82,83,85,81,80,74,82,80
0,0,84,100,100,12,70,90,100,100
0,0,72,62,83,62,85,75,82,85
0,0,75,92,96,75,97,80,80,97
0,0,74,75,78,79,81,80,88,86
0,0,80,72,83,70,83,85,88,91
0,0,80,91,91,59,90,90,90,91
0,0,98,91,100,10,100,93,100,100
0,0,86,85,70,81,52,52,80,63
0,0,64,85,81,61,84,88,88,92
0,0,85,87,87,71,85,85,83,85
0,0,90,86,100,75,100,100,100,100
0,0,79,83,77,58,67,72,78,78
0,0,100,100,100,83,85,87,100,100
0,0,70,85,100,80,80,100,71,100
0,0,90,84,88,81,88,88,91,88
0,0,100,70,88,53,88,100,100,100
0,0,100,100,100,100,0,100,100,100
0,0,80,95,100,69,80,80,95,100
0,0,90,99,99,94,99,98,95,99
0,0,100,100,100,90,90,96,100,100
0,0,100,100,100,50,100,100,100,100
0,0,85,80,100,70,100,86,100,100
0,0,82,84,84,67,81,88,89,95
0,0,82,99,100,100,86,100,100,100
0,0,88,80,81,71,83,81,100,100
0,0,100,100,100,100,100,100,100,100
0,0,94,90,94,93,100,100,95,100
0,0,76,79,78,63,67,73,73,70
0,0,100,100,100,100,100,100,100,100
0,0,100,100,100,100,100,100,100,100
0,0,71,70,80,81,80,80,80,80
0,0,100,99,100,100,100,95,100,100
0,0,95,88,91,74,96,91,95,100
0,0,100,100,100,100,100,100,100,100
0,0,75,85,86,79,82,79,84,81
0,0,100,100,100,100,100,100,100,100
0,0,100,100,99,83,99,100,100,100
0,0,90,91,93,92,96,98,96,97
0,0,100,100,100,100,100,100,100,100
0,0,89,83,93,71,83,83,86,91
0,0,56,85,60,58,60,61,63,58
0,0,100,100,100,75,100,100,100,100
0,0,85,100,100,38,100,78,100,100
0,0,95,93,92,77,100,95,93,100
0,0,74,79,78,72,81,75,95,84
0,0,100,100,100,100,100,100,100,100
0,1,96,100,100,100,100,100,100,100
0,1,100,100,100,100,100,100,100,100
0,1,100,100,100,100,100,100,100,100
0,1,80,81,81,81,91,86,89,100
0,1,100,92,92,56,79,74,100,100
0,1,50,50,50,50,50,50,50,50
0,1,84,86,81,81,85,81,82,82
0,1,69,100,100,50,100,70,100,100
0,1,97,100,100,79,93,90,100,100
0,1,93,90,90,85,89,84,91,90
0,1,84,91,87,86,86,88,96,86
0,1,100,95,100,60,90,85,75,75
0,1,100,100,100,50,100,50,100,100
0,1,83,92,82,77,77,83,70,89
0,1,84,85,81,79,79,81,80,81
0,1,88,87,90,79,91,81,100,100
0,1,100,96,100,76,100,100,97,100
0,1,91,92,96,94,93,98,99,99
0,1,92,100,100,50,100,100,100,100
0,1,100,99,100,100,100,91,100,100
0,1,100,100,100,15,100,100,100,100
0,1,94,89,94,90,100,98,100,100
0,1,100,100,100,100,100,100,100,100
0,1,75,99,96,73,100,84,86,69
0,1,100,100,100,100,100,100,100,100
0,1,100,100,100,100,100,100,100,100
0,1,95,97,99,91,84,98,99,100
0,1,96,94,91,41,96,95,100,100
0,1,71,100,100,81,100,98,100,100
0,1,75,75,96,83,50,95,50,100
0,1,93,88,94,71,85,82,84,83
0,1,90,80,100,90,90,95,100,100
0,1,100,100,79,100,100,100,82,100
0,1,88,71,80,70,80,80,81,80
0,1,100,100,100,100,100,100,100,100
0,1,100,100,100,100,100,100,100,100
0,1,100,100,100,93,100,100,100,100
0,1,65,71,68,66,59,62,72,74
0,1,81,89,100,100,93,100,100,100
0,1,100,88,96,88,85,85,93,95
0,1,100,100,100,94,95,100,100,100
0,1,100,90,100,100,99,93,100,100
0,1,75,100,85,80,100,75,89,100
0,1,100,100,100,55,81,100,100,100
0,1,100,100,100,41,100,43,55,94
1,0,70,85,70,70,70,70,70,65
1,0,76,89,84,72,85,81,96,96
1,0,64,66,73,40,74,78,79,83
1,0,53,89,86,44,88,94,81,84
1,0,83,83,0,50,100,100,100,100
1,0,70,81,82,83,82,82,83,82
1,0,100,98,100,91,100,100,100,100
1,0,54,99,70,46,79,75,100,100
1,0,74,87,84,78,82,91,82,91
1,0,66,66,89,62,85,86,86,90
1,0,78,74,100,74,52,84,73,85
1,0,90,90,90,90,90,90,90,90
1,0,65,85,80,30,80,75,100,100
1,0,100,84,100,88,98,100,100,100
1,0,62,84,87,78,97,63,90,92
1,0,100,88,88,69,51,94,78,77
1,0,71,74,73,55,72,66,70,65
1,0,65,50,60,50,70,75,80,75
1,0,100,100,100,100,100,100,100,100
1,0,75,75,90,60,90,70,100,100
1,0,75,77,81,59,85,97,88,95
1,0,100,100,100,100,100,100,100,100
1,0,91,86,92,9,100,76,100,100
1,0,86,90,80,80,85,85,98,90
1,0,100,100,100,100,100,100,100,100
1,0,84,85,89,70,83,83,84,91
1,0,52,100,79,51,80,81,84,75
1,0,70,80,75,56,85,80,85,80
1,0,51,87,91,51,92,88,97,86
1,0,100,100,100,100,100,100,100,100
1,0,78,98,82,78,77,95,84,85
1,0,76,86,85,63,77,91,94,100
