gemeente,provincie,partij,color,votes,percentage
Amsterdam,Noord-Holland,VVD,#006CDE,49517,"11,8"
Amsterdam,Noord-Holland,D66,#2A9198,41418,"9,9"
Amsterdam,Noord-Holland,GL/PvdA,#E00613,141976,"33,8"
Amsterdam,Noord-Holland,PVV,#A1B5EB,40470,"9,6"
Amsterdam,Noord-Holland,CDA,#54810B,3717,"0,9"
Amsterdam,Noord-Holland,SP,#8D030C,13383,"3,2"
Amsterdam,Noord-Holland,FvD,#9374D8,8672,"2,1"
Amsterdam,Noord-Holland,PVDD,#FFDB4A,20059,"4,8"
Amsterdam,Noord-Holland,ChristenUnie,#F2AA73,4113,"1,0"
Amsterdam,Noord-Holland,Volt,#5D19B8,16062,"3,8"
Amsterdam,Noord-Holland,JA21,#C7D9DB,1736,"0,4"
Amsterdam,Noord-Holland,SGP,#E97116,527,"0,1"
Amsterdam,Noord-Holland,DENK,#FFF5BA,31609,"7,5"
Amsterdam,Noord-Holland,50PLUS,#DEA1BC,1236,"0,3"
Amsterdam,Noord-Holland,BBB,#C3D99F,4183,"1,0"
Amsterdam,Noord-Holland,BIJ1,,9707,"2,3"
Amsterdam,Noord-Holland,Piraten,,793,"0,2"
Amsterdam,Noord-Holland,BVNL,,1447,"0,3"
Amsterdam,Noord-Holland,NSC,#003063,27787,"6,6"
Amsterdam,Noord-Holland,Splinter,,521,"0,1"
Amsterdam,Noord-Holland,LP,,255,"0,1"
Amsterdam,Noord-Holland,LEF,,357,"0,1"
Amsterdam,Noord-Holland,SAMEN,,128,"0,0"
Amsterdam,Noord-Holland,NLPLAN,,342,"0,1"
Amsterdam,Noord-Holland,PvdSport,,195,"0,0"
Amsterdam,Noord-Holland,PvBasisinkomen,,149,"0,0"
Amsterdam,Noord-Holland,OVERIG,,0,"0,0"
Utrecht,Provincie Utrecht,VVD,#006CDE,23505,"11,3"
Utrecht,Provincie Utrecht,D66,#2A9198,24073,"11,5"
Utrecht,Provincie Utrecht,GL/PvdA,#E00613,72881,"34,9"
Utrecht,Provincie Utrecht,PVV,#A1B5EB,20718,"9,9"
Utrecht,Provincie Utrecht,CDA,#54810B,3700,"1,8"
Utrecht,Provincie Utrecht,SP,#8D030C,4340,"2,1"
Utrecht,Provincie Utrecht,FvD,#9374D8,2610,"1,3"
Utrecht,Provincie Utrecht,PVDD,#FFDB4A,9084,"4,4"
Utrecht,Provincie Utrecht,ChristenUnie,#F2AA73,2936,"1,4"
Utrecht,Provincie Utrecht,Volt,#5D19B8,9637,"4,6"
Utrecht,Provincie Utrecht,JA21,#C7D9DB,861,"0,4"
Utrecht,Provincie Utrecht,SGP,#E97116,601,"0,3"
Utrecht,Provincie Utrecht,DENK,#FFF5BA,12283,"5,9"
Utrecht,Provincie Utrecht,50PLUS,#DEA1BC,473,"0,2"
Utrecht,Provincie Utrecht,BBB,#C3D99F,2034,"1,0"
Utrecht,Provincie Utrecht,BIJ1,,2487,"1,2"
Utrecht,Provincie Utrecht,Piraten,,251,"0,1"
Utrecht,Provincie Utrecht,BVNL,,505,"0,2"
Utrecht,Provincie Utrecht,NSC,#003063,14799,"7,1"
Utrecht,Provincie Utrecht,Splinter,,333,"0,2"
Utrecht,Provincie Utrecht,LP,,96,"0,0"
Utrecht,Provincie Utrecht,LEF,,130,"0,1"
Utrecht,Provincie Utrecht,SAMEN,,41,"0,0"
Utrecht,Provincie Utrecht,NLPLAN,,111,"0,1"
Utrecht,Provincie Utrecht,PvdSport,,90,"0,0"
Utrecht,Provincie Utrecht,PvBasisinkomen,,43,"0,0"
Utrecht,Provincie Utrecht,OVERIG,,0,"0,0"
Den Haag,Zuid-Holland,VVD,#006CDE,36948,"15,1"
Den Haag,Zuid-Holland,D66,#2A9198,20410,"8,3"
Den Haag,Zuid-Holland,GL/PvdA,#E00613,47315,"19,4"
Den Haag,Zuid-Holland,PVV,#A1B5EB,53202,"21,8"
Den Haag,Zuid-Holland,CDA,#54810B,4688,"1,9"
Den Haag,Zuid-Holland,SP,#8D030C,6457,"2,6"
Den Haag,Zuid-Holland,FvD,#9374D8,6312,"2,6"
Den Haag,Zuid-Holland,PVDD,#FFDB4A,8280,"3,4"
Den Haag,Zuid-Holland,ChristenUnie,#F2AA73,2902,"1,2"
Den Haag,Zuid-Holland,Volt,#5D19B8,5561,"2,3"
Den Haag,Zuid-Holland,JA21,#C7D9DB,1146,"0,5"
Den Haag,Zuid-Holland,SGP,#E97116,925,"0,4"
Den Haag,Zuid-Holland,DENK,#FFF5BA,21006,"8,6"
Den Haag,Zuid-Holland,50PLUS,#DEA1BC,932,"0,4"
Den Haag,Zuid-Holland,BBB,#C3D99F,3147,"1,3"
Den Haag,Zuid-Holland,BIJ1,,2022,"0,8"
Den Haag,Zuid-Holland,Piraten,,285,"0,1"
Den Haag,Zuid-Holland,BVNL,,991,"0,4"
Den Haag,Zuid-Holland,NSC,#003063,20811,"8,5"
Den Haag,Zuid-Holland,Splinter,,359,"0,1"
Den Haag,Zuid-Holland,LP,,110,"0,0"
Den Haag,Zuid-Holland,LEF,,206,"0,1"
Den Haag,Zuid-Holland,SAMEN,,103,"0,0"
Den Haag,Zuid-Holland,NLPLAN,,245,"0,1"
Den Haag,Zuid-Holland,PvBasisinkomen,,76,"0,0"
Den Haag,Zuid-Holland,OVERIG,,0,"0,0"
Rotterdam,Zuid-Holland,VVD,#006CDE,34540,"11,7"
Rotterdam,Zuid-Holland,D66,#2A9198,20606,"7,0"
Rotterdam,Zuid-Holland,GL/PvdA,#E00613,58859,"20,0"
Rotterdam,Zuid-Holland,PVV,#A1B5EB,63126,"21,4"
Rotterdam,Zuid-Holland,CDA,#54810B,5820,"2,0"
Rotterdam,Zuid-Holland,SP,#8D030C,9564,"3,2"
Rotterdam,Zuid-Holland,FvD,#9374D8,7576,"2,6"
Rotterdam,Zuid-Holland,PVDD,#FFDB4A,9178,"3,1"
Rotterdam,Zuid-Holland,ChristenUnie,#F2AA73,4265,"1,4"
Rotterdam,Zuid-Holland,Volt,#5D19B8,7586,"2,6"
Rotterdam,Zuid-Holland,JA21,#C7D9DB,2572,"0,9"
Rotterdam,Zuid-Holland,SGP,#E97116,1873,"0,6"
Rotterdam,Zuid-Holland,DENK,#FFF5BA,29175,"9,9"
Rotterdam,Zuid-Holland,50PLUS,#DEA1BC,1250,"0,4"
Rotterdam,Zuid-Holland,BBB,#C3D99F,3858,"1,3"
Rotterdam,Zuid-Holland,BIJ1,,4917,"1,7"
Rotterdam,Zuid-Holland,Piraten,,330,"0,1"
Rotterdam,Zuid-Holland,BVNL,,1201,"0,4"
Rotterdam,Zuid-Holland,NSC,#003063,26561,"9,0"
Rotterdam,Zuid-Holland,Splinter,,408,"0,1"
Rotterdam,Zuid-Holland,LP,,136,"0,0"
Rotterdam,Zuid-Holland,LEF,,168,"0,1"
Rotterdam,Zuid-Holland,SAMEN,,134,"0,0"
Rotterdam,Zuid-Holland,NLPLAN,,324,"0,1"
Rotterdam,Zuid-Holland,OVERIG,,0,"0,0"
Nijmegen,Gelderland,VVD,#006CDE,10982,"9,8"
Nijmegen,Gelderland,D66,#2A9198,11700,"10,4"
Nijmegen,Gelderland,GL/PvdA,#E00613,38593,"34,3"
Nijmegen,Gelderland,PVV,#A1B5EB,16561,"14,7"
Nijmegen,Gelderland,CDA,#54810B,2109,"1,9"
Nijmegen,Gelderland,SP,#8D030C,4464,"4,0"
Nijmegen,Gelderland,FvD,#9374D8,1762,"1,6"
Nijmegen,Gelderland,PVDD,#FFDB4A,4722,"4,2"
Nijmegen,Gelderland,ChristenUnie,#F2AA73,825,"0,7"
Nijmegen,Gelderland,Volt,#5D19B8,4046,"3,6"
Nijmegen,Gelderland,JA21,#C7D9DB,552,"0,5"
Nijmegen,Gelderland,SGP,#E97116,124,"0,1"
Nijmegen,Gelderland,DENK,#FFF5BA,2088,"1,9"
Nijmegen,Gelderland,50PLUS,#DEA1BC,273,"0,2"
Nijmegen,Gelderland,BBB,#C3D99F,1336,"1,2"
Nijmegen,Gelderland,BIJ1,,870,"0,8"
Nijmegen,Gelderland,Piraten,,142,"0,1"
Nijmegen,Gelderland,BVNL,,356,"0,3"
Nijmegen,Gelderland,NSC,#003063,10414,"9,3"
Nijmegen,Gelderland,Splinter,,132,"0,1"
Nijmegen,Gelderland,LP,,54,"0,0"
Nijmegen,Gelderland,LEF,,83,"0,1"
Nijmegen,Gelderland,SAMEN,,37,"0,0"
Nijmegen,Gelderland,NLPLAN,,68,"0,1"
Nijmegen,Gelderland,PvdSport,,69,"0,1"
Nijmegen,Gelderland,OVERIG,,0,"0,0"
Purmerend,Noord-Holland,VVD,#006CDE,9298,"17,0"
Purmerend,Noord-Holland,D66,#2A9198,2756,"5,0"
Purmerend,Noord-Holland,GL/PvdA,#E00613,7233,"13,2"
Purmerend,Noord-Holland,PVV,#A1B5EB,17759,"32,5"
Purmerend,Noord-Holland,CDA,#54810B,954,"1,7"
Purmerend,Noord-Holland,SP,#8D030C,1798,"3,3"
Purmerend,Noord-Holland,FvD,#9374D8,1558,"2,8"
Purmerend,Noord-Holland,PVDD,#FFDB4A,1160,"2,1"
Purmerend,Noord-Holland,ChristenUnie,#F2AA73,354,"0,6"
Purmerend,Noord-Holland,Volt,#5D19B8,618,"1,1"
Purmerend,Noord-Holland,JA21,#C7D9DB,414,"0,8"
Purmerend,Noord-Holland,SGP,#E97116,83,"0,2"
Purmerend,Noord-Holland,DENK,#FFF5BA,1071,"2,0"
Purmerend,Noord-Holland,50PLUS,#DEA1BC,392,"0,7"
Purmerend,Noord-Holland,BBB,#C3D99F,2310,"4,2"
Purmerend,Noord-Holland,BIJ1,,335,"0,6"
Purmerend,Noord-Holland,Piraten,,72,"0,1"
Purmerend,Noord-Holland,BVNL,,330,"0,6"
Purmerend,Noord-Holland,NSC,#003063,5908,"10,8"
Purmerend,Noord-Holland,Splinter,,97,"0,2"
Purmerend,Noord-Holland,LP,,23,"0,0"
Purmerend,Noord-Holland,LEF,,23,"0,0"
Purmerend,Noord-Holland,SAMEN,,33,"0,1"
Purmerend,Noord-Holland,NLPLAN,,77,"0,1"
Purmerend,Noord-Holland,PvdSport,,38,"0,1"
Purmerend,Noord-Holland,OVERIG,,0,"0,0"
West Betuwe,Gelderland,VVD,#006CDE,7659,"20,9"
West Betuwe,Gelderland,D66,#2A9198,1666,"4,6"
West Betuwe,Gelderland,GL/PvdA,#E00613,3288,"9,0"
West Betuwe,Gelderland,PVV,#A1B5EB,9761,"26,7"
West Betuwe,Gelderland,CDA,#54810B,1206,"3,3"
West Betuwe,Gelderland,SP,#8D030C,624,"1,7"
West Betuwe,Gelderland,FvD,#9374D8,598,"1,6"
West Betuwe,Gelderland,PVDD,#FFDB4A,468,"1,3"
West Betuwe,Gelderland,ChristenUnie,#F2AA73,890,"2,4"
West Betuwe,Gelderland,Volt,#5D19B8,320,"0,9"
West Betuwe,Gelderland,JA21,#C7D9DB,232,"0,6"
West Betuwe,Gelderland,SGP,#E97116,3196,"8,7"
West Betuwe,Gelderland,DENK,#FFF5BA,169,"0,5"
West Betuwe,Gelderland,50PLUS,#DEA1BC,134,"0,4"
West Betuwe,Gelderland,BBB,#C3D99F,2201,"6,0"
West Betuwe,Gelderland,BIJ1,,33,"0,1"
West Betuwe,Gelderland,Piraten,,14,"0,0"
West Betuwe,Gelderland,BVNL,,193,"0,5"
West Betuwe,Gelderland,NSC,#003063,3824,"10,5"
West Betuwe,Gelderland,Splinter,,25,"0,1"
West Betuwe,Gelderland,LP,,7,"0,0"
West Betuwe,Gelderland,LEF,,12,"0,0"
West Betuwe,Gelderland,SAMEN,,36,"0,1"
West Betuwe,Gelderland,NLPLAN,,9,"0,0"
